id,description,sourceTypes,generatedPlateCount,storyLinkCount,metadataUseCount,presentationGroup,purposeTags,seasonTags,climateTags,formality,eraTags,settingTags,activityTags,silhouetteTags,footwearTags,componentTags,colorPalette,materials,patterns,detailTags,coverageTags,qualityFlags
existing_outfit_021,"Bright zip-up jacket, lightweight shirt, fitted pants, sturdy ankle boots, small crossbody satchel bag.",generated_plate|metadata,2,3,1,female,casual|exploration|travel,demi,mild,casual,modern,city,hiking,separates,hiking_boots,jacket|shirt|pants|boots,,cotton|canvas,,satchel,closed_toe,
existing_outfit_022,"Light blue hooded jacket with wooden toggle buttons, white shirt collar peeking out, knee-length navy skirt, white tights, brown ankle boots, small tan crossbody satchel worn across the torso.",generated_plate|metadata,2,3,1,female,casual|exploration|historical|travel,demi,mild,costume,medieval|modern,castle|city,hiking,skirt_set,hiking_boots,jacket|shirt|skirt|boots,white|blue|brown,cotton|canvas,,hood|satchel|buttons,closed_toe,
existing_outfit_023,"Light floral-patterned jacket with front pockets, comfortable leggings, white sneakers, small backpack worn on both shoulders.",generated_plate|metadata,2,3,1,female,casual|exploration|travel,demi,mild,casual,modern,city,hiking,separates,sneakers,jacket|pants|sneakers,white,,floral,pockets|backpack,closed_toe,
existing_outfit_024,"Bright floral bomber jacket, comfortable leggings, sturdy sneakers, small backpack with shoulder straps worn on both shoulders.",generated_plate|metadata,2,3,1,female,casual|exploration|travel,demi,mild,casual,modern,city,hiking,separates,sneakers,jacket|pants|sneakers,,,floral,backpack,closed_toe,
existing_outfit_025,"A bright floral jacket with embroidered flower patterns, a light yellow shirt underneath, teal knee-length skirt, white tights, and brown ankle boots.",generated_plate|metadata,1,3,1,female,casual,demi,mild,casual,modern,city,,skirt_set,hiking_boots,jacket|shirt|skirt|boots,white|blue|yellow|brown,cotton,floral|embroidered,,closed_toe,
existing_outfit_026,"Light teal bomber jacket with ribbed cuffs and hem, white T-shirt, coral knee-length skirt, white ankle socks, yellow sneakers; small pockets on the bomber",generated_plate|metadata,2,3,1,female,casual,demi,mild,casual,modern,city,,skirt_set,sneakers,jacket|shirt|skirt|sneakers,white|blue|yellow|orange,cotton,,pockets,closed_toe,
existing_outfit_027,"Light pink bomber jacket with ribbed cuffs and hem, white T-shirt, knee-length denim skirt, white ankle socks, white sneakers",generated_plate|metadata,1,3,1,female,casual|school,demi,mild,casual,modern,city|school,,skirt_set,sneakers,jacket|shirt|skirt|sneakers,white|pink,cotton|denim,,,closed_toe,
existing_outfit_028,"Floral bomber jacket (light base color with small flower pattern), zipped up; comfortable trousers with deep pockets; sturdy ankle boots with thick soles suitable for stone surfaces; simple belt; small practical flashlight carried in a pocket (not in hands unless shown).",generated_plate|metadata,2,3,1,female,casual,demi,mild,casual,modern,city,,separates,hiking_boots,jacket|pants|boots,,,floral,pockets|belt,closed_toe,
existing_outfit_029,"A vibrant floral-patterned bomber jacket over a simple white t-shirt, dark blue cargo trousers with many pockets, and clean white sneakers.",generated_plate|metadata,2,3,1,female,casual|exploration|travel,demi,mild,casual,modern,city,hiking,separates,sneakers,jacket|shirt|pants|sneakers,white|blue,cotton,floral,pockets,closed_toe,
existing_outfit_030,"Dark floral jacket with long sleeves, comfortable black and white patterned trousers, and sturdy walking sandals.",generated_plate|metadata,1,3,1,female,casual|exploration|historical|travel,demi|summer,mild,costume,medieval|modern,castle|city,hiking,separates,sandals,jacket|pants|sandals,black|white|brown,,floral,,open_toe,
existing_outfit_031,A blue sweater and green trousers.,generated_plate|metadata,1,3,1,unisex,casual,demi,mild,casual,modern,city,,separates,unspecified_footwear,sweater|pants,blue|green,wool,,,,too_generic
existing_outfit_032,"comfortable pink t-shirt with a star graphic, blue denim overalls, white socks. Пес Мімік [ID: d9a2d632-b29b-4305-8cb3-ef5347342de0]: natural appearance. Догіхант [ID: a07bc0d1-3e57-4425-a240-9846ee91cbc8]: natural appearance, purple bucket hat with a blue bow, rainbow butterfly wings with flowers.",generated_plate,1,4,0,female,casual|protective|work,rain,mild,casual,modern,city,repairing,coveralls|protective_suit,unspecified_footwear,shirt|pants|overalls,white|blue|pink|purple,cotton|denim,floral,hat,waterproof,likely_serialized_multi_character_outfit_text|mixed_with_identity_or_natural_appearance
existing_outfit_033,"Bright yellow rain jacket, sturdy brown hiking boots, and a small green backpack with patches.",generated_plate|metadata,1,2,1,female,casual|exploration|historical|protective|travel,demi|rain,mild,costume,medieval|modern,castle|city,hiking,protective_suit,hiking_boots,jacket|raincoat|boots,green|yellow|brown,waterproof_fabric,,backpack|patch,closed_toe|waterproof,
existing_outfit_034,A yellow sweater with a blue overall dress and small brown boots.,generated_plate|metadata,1,2,1,female,casual,demi,mild,casual,modern,city,,dress,boots,sweater|dress|boots,blue|yellow|brown,wool,,,closed_toe,
existing_outfit_035,"A beige explorer vest with many pockets, green cargo pants, sturdy brown hiking boots, and a small yellow backpack.",generated_plate|metadata,1,2,1,female,casual|exploration|historical|travel,demi,mild,costume,medieval|modern,castle|city,hiking,separates,hiking_boots,vest|pants|boots,green|yellow|brown,,,pockets|backpack,closed_toe,
existing_outfit_036,"lightweight space-station jumpsuit in teal with darker knee patches, zip front, small mission patch on chest, white-soled sneakers",generated_plate|metadata,2,2,1,female,casual|sci_fi|space,all_season,mild|space_controlled,costume,future|modern,city|space_station,,jumpsuit,sneakers,pants|jumpsuit|sneakers,white|blue,,,patch,closed_toe,
existing_outfit_037,"Lightweight bomber jacket with front zipper and ribbed cuffs, simple T-shirt, comfortable jeans, sturdy sneakers; small crossbody pouch worn at the hip",generated_plate|metadata,2,2,1,female,casual,demi,mild,casual,modern,city,,separates,sneakers,jacket|shirt|pants|sneakers,,cotton|denim,,satchel,closed_toe,
existing_outfit_038,"lightweight hooded jacket, long pants, comfortable sneakers, small crossbody bag",generated_plate|metadata,1,2,1,female,casual|school,demi,mild,casual,modern,city|school,,separates,sneakers,jacket|pants|sneakers,,,,hood|satchel,closed_toe,
existing_outfit_039,"Forest-travel outfit: light hooded jacket, long pants/leggings, sturdy ankle boots, small crossbody satchel worn at the hip.",generated_plate|metadata,1,2,1,female,casual|exploration|travel,demi,mild,casual,modern,city,hiking,separates,hiking_boots,jacket|pants|boots,,canvas,,hood|satchel,closed_toe,
existing_outfit_040,"child-sized light space suit with padded jacket and pants, utility belt, small backpack life-support unit, sturdy ankle boots, simple gloves",generated_plate|metadata,1,2,1,female,casual|exploration|protective|sci_fi|space|travel|work,snow|winter,cold|mild|space_controlled|space_eva,protective,future|modern,city|space_station,hiking|repairing|spacewalk,protective_suit|spacesuit,hiking_boots,jacket|pants|boots,,,,pockets|belt|backpack|gloves,closed_toe|gloves_required|insulated|warm,
existing_outfit_041,"Bright teal bomber jacket with reflective piping, white T-shirt, purple leggings, chunky white sneakers with neon laces, slim smartwatch on left wrist.",generated_plate|metadata,2,2,1,female,casual|sci_fi,demi,mild,casual,future|modern,city|future_city,,separates,sneakers,jacket|shirt|pants|sneakers,white|blue|purple,cotton,,reflective_trim|wrist_device,closed_toe,
existing_outfit_042,"Light yellow short-sleeve hoodie, turquoise knee-length shorts, white ankle socks, pink-and-white sneakers, small crossbody pouch with a simple clasp",generated_plate|metadata,1,2,1,female,casual,demi|summer,mild,casual,modern,city,,separates,sneakers,hoodie|shorts|sneakers,white|blue|yellow|pink,,,hood|satchel,closed_toe,
existing_outfit_043,"Light yellow sleeveless summer dress with a soft tulle-like skirt layer, white ankle socks, and pink sneakers; small star-shaped hair clip; no coat or hat.",generated_plate|metadata,1,2,1,female,casual,summer,mild,casual,modern,city,,dress|skirt_set,sneakers,jacket|dress|skirt|sneakers,white|yellow|pink,,star_print,hat,closed_toe,
existing_outfit_044,"Bright floral jacket (spring weight) with multicolored flower print, light yellow hoodie underneath, teal leggings, white sneakers with pink accents, small crossbody satchel bag with a simple clasp.",generated_plate|metadata,2,2,1,female,casual|exploration|travel,demi,mild,casual,modern,city,hiking,separates,sneakers,hoodie|jacket|pants|sneakers,white|blue|yellow|pink,canvas,floral,hood|satchel,closed_toe,
existing_outfit_045,"A navy blue bomber jacket with colorful floral embroidery, light-colored pants with a subtle geometric pattern, and bright pink sneakers.",generated_plate|metadata,2,2,1,female,casual|exploration|travel,demi,mild,casual,modern,city,hiking,separates,sneakers,jacket|pants|sneakers,blue|pink,,floral|geometric|embroidered,,closed_toe,
existing_outfit_046,"A bright floral-patterned jacket over a simple white t-shirt, dark blue utility trousers, and sturdy silver space boots.",generated_plate|metadata,1,2,1,female,casual|sci_fi|space,demi,mild|space_controlled,costume,future|modern,city|future_city|space_station,,separates,space_boots,jacket|shirt|pants|boots,white|gray|blue,cotton|metallic_fabric,floral,pockets|hat,closed_toe,
existing_outfit_047,"A bright floral-patterned bomber jacket worn over a white t-shirt, blue denim jeans, and pink canvas sneakers.",generated_plate|metadata,2,2,1,female,casual,demi,mild,casual,modern,city,,separates,sneakers,jacket|shirt|pants|sneakers,white|blue|pink,cotton|denim|canvas,floral,,closed_toe,
existing_outfit_048,"A yellow cotton sundress worn under a bright orange inflatable life jacket, with a black-rimmed snorkeling mask pushed up onto her forehead.",generated_plate|metadata,1,2,1,female,casual|swim|travel,demi|summer,coastal|mild|underwater,casual,modern,beach|city|coast|underwater,diving|swimming,dress,unspecified_footwear,jacket|dress,black|yellow|orange,cotton,,goggles|life_vest,,
existing_outfit_049,"A navy blue polo shirt, khaki cargo shorts, and brown boat shoes.",generated_plate|metadata,1,2,1,male,casual|exploration|official|swim|travel,summer,coastal|hot|mild|tropical,casual,modern,beach|city|coast|harbor|jungle|ship,hiking|sailing|swimming,separates,deck_shoes,shirt|pants|shorts|deck_shoes,blue|green|brown,cotton,,,closed_toe,
existing_outfit_050,"A simple yellow cotton sundress and brown leather sandals. She carries a small, old, leather-bound diary.",generated_plate|metadata,1,2,1,female,casual,summer,mild,casual,modern,city,,dress,sandals,dress|sandals,yellow|brown,cotton|leather_like,,,open_toe,
existing_outfit_051,"A lightweight yellow long-sleeved top, dark blue hiking shorts, and sturdy brown walking sandals.",generated_plate|metadata,1,2,1,female,casual|exploration|historical|travel,summer,mild,costume,medieval|modern,castle|city,hiking,separates,sandals,shirt|shorts|sandals,blue|yellow|brown,,,,open_toe,
existing_outfit_052,A dark blue adult life vest over black swim shorts.,generated_plate|metadata,1,2,1,male,casual|swim|travel,summer,coastal|mild,protective,modern,beach|city|coast,kayaking|swimming,protective_suit,unspecified_footwear,vest|shorts,black|blue,,,life_vest,,
existing_outfit_053,A bright orange child's life vest over a blue swimsuit. Barefoot.,generated_plate|metadata,1,2,1,female,casual|swim|travel,summer,coastal|mild,protective,modern,beach|city|coast,kayaking|swimming,protective_suit|swimwear,barefoot,vest|swimwear,blue|orange,,,life_vest,open_toe,
existing_outfit_054,"A yellow waterproof jacket over a light blue and white striped long-sleeved top, comfortable denim shorts, and blue rubber boots.",generated_plate|metadata,1,2,1,female,casual|protective|swim|travel,demi|rain|summer,coastal|mild,protective,modern,beach|city|coast|harbor|ship,sailing|swimming,protective_suit,rain_boots,jacket|shirt|shorts|boots,white|blue|yellow,denim|waterproof_fabric|rubber,striped,,closed_toe|waterproof,
existing_outfit_055,"A light blue and white striped long-sleeved top, comfortable denim shorts, and white sneakers.",generated_plate|metadata,1,2,1,female,casual,summer,mild,casual,modern,city,,separates,sneakers,shirt|shorts|sneakers,white|blue,denim,striped,,closed_toe,
existing_outfit_056,"a knee-length, comfortable light blue dress with short puff sleeves, a simple white collar, and white Mary Jane shoes. Her braided hair with pink and blue streaks is tied with a ribbon. Сяйвик [ID: c9e5b476-2fd8-4ab6-8148-d336be03821a]: natural appearance",generated_plate,1,3,0,female,casual,all_season,mild,casual,modern,city,,dress,formal_shoes,dress,white|blue|pink,,,,closed_toe,likely_serialized_multi_character_outfit_text|mixed_with_identity_or_natural_appearance
existing_outfit_057,"Dark blue waterproof jacket with embroidered floral patterns in pink and green, black and white striped adventure pants, sturdy brown boots. Her long light hair with pink and blue strands is in a high ponytail. She carries a rolled-up scroll. Сяйвик [ID: c9e5b476-2fd8-4ab6-8148-d336be03821a]: natural appearance.",generated_plate,1,3,0,female,casual|exploration|protective|travel,demi|rain,mild,protective,modern,city,hiking,protective_suit,boots,jacket|pants|boots,black|white|blue|green|pink|brown,waterproof_fabric,floral|striped|embroidered,,closed_toe|waterproof,likely_serialized_multi_character_outfit_text|mixed_with_identity_or_natural_appearance
existing_outfit_058,"Lightweight hoodie, comfortable leggings, sturdy sneakers, small crossbody pouch",generated_plate|metadata,1,1,1,female,casual,demi,mild,casual,modern,city,,separates,sneakers,hoodie|pants|sneakers,,,,hood|satchel,closed_toe,
existing_outfit_059,"lightweight pale-grey space-farming coveralls with reinforced knees, slim utility belt, soft-soled dark boots, thin work gloves, small hip pouch with flap",generated_plate|metadata,1,1,1,female,casual|protective|sci_fi|space|work,snow|winter,cold|mild|space_controlled,costume,future|modern,city|space_station,repairing,coveralls|protective_suit,boots,pants|overalls|coveralls|boots,white|gray,,,pockets|belt|satchel|gloves,closed_toe|gloves_required|insulated|warm,
existing_outfit_060,"pale-grey space-farming coveralls, short padded vest, dark ankle boots with grippy soles, thin gloves, small hip pouch; a smooth palm-sized glowing light-stone carried in one pocket",generated_plate|metadata,1,1,1,female,casual|protective|sci_fi|space|work,snow|winter,cold|mild|space_controlled,costume,future|modern,city|space_station,repairing,coveralls|protective_suit,hiking_boots,vest|pants|overalls|coveralls|boots,white|gray,,,pockets|satchel|gloves,closed_toe|gloves_required|insulated|warm,
existing_outfit_061,"brown tweed jacket, light cream button-up shirt, dark olive knit cardigan vest, charcoal trousers, brown leather shoes, large round eyeglasses",generated_plate|metadata,1,1,1,unisex,casual|official,demi|indoor,mild,smart_casual,modern,city|home|museum,investigating,separates,formal_shoes,jacket|sweater|shirt|vest|pants,white|gray|green|brown,cotton|wool|leather_like,,goggles|buttons,closed_toe,
existing_outfit_062,"lightweight long-sleeve shirt, breathable light trousers, comfortable walking sneakers, wide-brim sun hat, small backpack worn on both shoulders",generated_plate|metadata,1,1,1,female,casual|exploration|historical|travel,summer,desert|hot|mild,costume,medieval|modern,castle|city|desert,hiking,separates,sneakers,shirt|pants|sneakers,,cotton,,backpack|hat,closed_toe,
existing_outfit_063,"Bright bomber jacket with warm lining, fitted hiking pants, sturdy ankle-high hiking boots, light gloves, small backpack with simple straps.",generated_plate|metadata,1,1,1,female,casual|exploration|historical|protective|travel,snow|winter,cold|mild,costume,medieval|modern,castle|city,hiking,protective_suit,hiking_boots,jacket|pants|boots,,,,backpack|gloves,closed_toe|gloves_required|insulated|warm,
existing_outfit_064,"Simple long monastery robe with rope belt, worn sandals, wooden-bead bracelet; carries a heavy wooden staff.",generated_plate|metadata,1,1,1,male,casual|historical|magic,summer,mild,costume,fantasy|medieval|modern,castle|city|library,investigating,robe,sandals,robe|sandals,brown,,,belt|staff,open_toe,
existing_outfit_065,"Soft knitted mustard-yellow sweater, teal pleated skirt, warm dark leggings, brown ankle boots with small side buckles.",generated_plate|metadata,1,1,1,female,casual,demi,mild,casual,modern,city,,skirt_set,hiking_boots,sweater|skirt|pants|boots,blue|yellow|brown,wool|leather_like,,,closed_toe,
existing_outfit_066,"Bright sporty T-shirt with simple geometric stripes, lightweight running shorts, ankle socks, colorful running sneakers, and a thin sporty wristband.",generated_plate|metadata,1,1,1,female,casual,summer,mild,casual,modern,city,,separates,sneakers,shirt|shorts|sneakers,,cotton,striped|geometric,wrist_device,closed_toe,
existing_outfit_067,"Brown linen tunic with a rope belt, dark green trousers, worn leather ankle boots, soft cloth cap, leather strap supporting a wooden lute.",generated_plate|metadata,1,1,1,male,casual|historical,demi,mild,casual,medieval|modern,castle|city,,separates,hiking_boots,tunic|pants|boots,green|brown,leather_like,,belt|hat,closed_toe,
existing_outfit_068,"A bright floral-patterned jacket, dark blue utility trousers, silver space boots, and a shimmering crystal star amulet hanging from a silver cord around her neck.",generated_plate|metadata,1,1,1,female,casual|magic|sci_fi|space,demi,mild|space_controlled,costume,fantasy|future|modern,city|future_city|space_station,,separates,space_boots,jacket|pants|boots,gray|blue,metallic_fabric,floral|star_print,pockets|amulet,closed_toe,
existing_outfit_069,"A simple white short-sleeved t-shirt, blue denim jeans, and pink canvas sneakers.",generated_plate|metadata,1,1,1,female,casual,all_season,mild,casual,modern,city,,separates,sneakers,shirt|pants|sneakers,white|blue|pink,cotton|denim|canvas,,,closed_toe,
existing_outfit_070,A comfortable light grey t-shirt and dark blue trousers.,generated_plate|metadata,1,1,1,male,casual,all_season,mild,casual,modern,city,,separates,unspecified_footwear,shirt|pants,white|gray|blue,cotton,,,,
existing_outfit_071,"A light green t-shirt, beige cargo shorts, and blue boat shoes.",generated_plate|metadata,1,1,1,male,casual|exploration|swim|travel,summer,coastal|mild,casual,modern,beach|city|coast|harbor|ship,hiking|sailing|swimming,separates,deck_shoes,shirt|pants|shorts|deck_shoes,blue|green|brown,cotton,,,closed_toe,
existing_outfit_072,"A colorful one-piece swimsuit, with a blue diving mask and snorkel.",generated_plate|metadata,1,1,1,female,casual|swim|travel,summer,coastal|mild|underwater,casual,modern,beach|city|coast|harbor|ship|underwater,diving|sailing|swimming,swimwear,unspecified_footwear,swimwear,blue,,,goggles,,
existing_outfit_073,"Soft, light blue pajamas with a small star pattern.",generated_plate|metadata,1,1,1,female,casual,all_season,mild,casual,modern,city,,separates,unspecified_footwear,,blue,,,,,
existing_outfit_074,"A dark floral bomber jacket with a zipper, and white athletic sneakers.",generated_plate|metadata,1,1,1,female,casual,demi,mild,casual,modern,city,,separates,sneakers,jacket|sneakers,white,,floral,,closed_toe,
existing_outfit_075,"A light, flowy white tunic over a blue swimsuit, with a wide-brimmed straw hat. Barefoot.",generated_plate|metadata,1,1,1,female,casual|historical|swim|travel,summer,coastal|mild,casual,medieval|modern,beach|castle|city|coast,swimming,swimwear,barefoot,tunic|swimwear,white|blue,,,hat,open_toe,
existing_outfit_076,A light green t-shirt and khaki swim trunks. Barefoot.,generated_plate|metadata,1,1,1,male,casual|exploration|swim|travel,summer,coastal|hot|mild|tropical,casual,modern,beach|city|coast|jungle,hiking|swimming,swimwear,barefoot,shirt|shorts|swimwear,green,cotton,,,open_toe,
existing_outfit_077,A light blue and white striped t-shirt and comfortable denim shorts. Barefoot.,generated_plate|metadata,1,1,1,female,casual|swim|travel,summer,coastal|mild,casual,modern,beach|city|coast,swimming,separates,barefoot,shirt|shorts,white|blue,cotton|denim,striped,,open_toe,
existing_outfit_078,"a light yellow sundress with small white floral patterns, bare feet. Бінбон [ID: 0c1ead4f-0ac3-43ab-b458-18f490e985ee]: blue sweater, green pants, natural appearance.",generated_plate,2,2,0,female,casual,demi|summer,mild,casual,modern,city,,dress,unspecified_footwear,sweater|dress|pants,white|blue|green|yellow,wool,floral,,,likely_serialized_multi_character_outfit_text|mixed_with_identity_or_natural_appearance
existing_outfit_079,"light blue long-sleeved shirt, dark blue denim overalls, white socks, red sneakers. Сяйвик [ID: c9e5b476-2fd8-4ab6-8148-d336be03821a]: natural appearance",generated_plate,1,2,0,female,casual|work,all_season,mild,casual,modern,city,repairing,coveralls,sneakers,shirt|pants|overalls|sneakers,white|blue|red,cotton|denim,,,closed_toe,likely_serialized_multi_character_outfit_text|mixed_with_identity_or_natural_appearance
existing_outfit_080,"light blue button-up shirt, dark brown trousers, comfortable brown slippers.",generated_plate,1,1,0,male,casual|official,indoor,mild,smart_casual,modern,city|home,,separates,slippers,shirt|pants|slippers,blue|brown,cotton,,buttons,,
existing_outfit_081,"light blue long-sleeved shirt, dark blue denim overalls, white socks, red sneakers. Сяйвик [ID: c9e5b476-2fd8-4ab6-8148-d336be03821a]: natural appearance. Старий, мудрий гном: earthy-toned tunic, brown trousers, leather boots, and a pointed green hat. He carries a gnarled wooden staff.",generated_plate,1,1,0,female,casual|historical|work,demi,mild,casual,medieval|modern,castle|city,repairing,coveralls,sneakers,shirt|tunic|pants|overalls|boots|sneakers,white|blue|green|red|brown,cotton|denim|leather_like,,hat|staff,closed_toe,likely_serialized_multi_character_outfit_text|mixed_with_identity_or_natural_appearance
existing_outfit_082,"white baker's apron over a simple green dress, comfortable brown shoes, hair tied back with a white scarf. Сяйвик [ID: c9e5b476-2fd8-4ab6-8148-d336be03821a]: natural appearance",generated_plate,1,1,0,female,casual|protective,snow|winter,cold|mild,casual,modern,city,,dress,formal_shoes,dress,white|green|brown,wool,,scarf,closed_toe|insulated|warm,likely_serialized_multi_character_outfit_text|mixed_with_identity_or_natural_appearance
